NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
21;0,67;31/03/2014;3;7;16:09:55;16:49:52;2;16;1;1998;1;0;1;1;1;1;2;0;1;4;2;2;2;4;1;1;2;2;1;1;1;1;1;1;1;1;2;1
212;1,3;08/04/2014;4;1;16:42:56;17:01:32;2;20;2;1994;1;0;1;1;0;2;2;1;2;5;5;1;2;2;3;3;5;5;1;1;1;1;1;1;2;1;2;1
213;2,38;08/04/2014;4;1;17:04:44;17:20:39;2;17;1;1997;1;0;0;1;0;2;1;1;1;2;5;5;5;4;5;5;5;5;1;1;2;1;2;2;2;2;2;2
215;0,66;08/04/2014;4;1;17:04:17;17:31:38;2;16;1;1998;1;0;1;1;0;2;2;1;1;4;5;4;1;2;2;5;4;5;1;1;2;1;1;1;1;2;1;1
216;0,83;08/04/2014;4;1;17:09:59;17:31:58;2;16;1;1998;1;0;0;1;0;2;1;1;1;1;5;3;1;1;1;1;3;3;1;1;2;1;1;1;1;2;2;1
217;6,37;09/04/2014;4;2;14:00:53;14:27:53;1;46;4;1968;1;0;1;1;0;2;1;1;1;1;1;1;3;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1
218;2,64;09/04/2014;4;2;14:04:00;14:28:24;2;17;1;1997;1;0;1;1;0;2;2;1;1;1;5;1;1;1;1;4;1;1;1;1;2;1;1;1;1;1;1;1
219;5,78;09/04/2014;4;2;14:02:26;14:31:14;2;38;4;1976;1;0;1;1;0;2;2;1;2;3;5;4;4;4;5;4;4;5;1;1;2;3;1;1;3;1;2;1
22;0,7;31/03/2014;3;7;16:23:43;16:56:56;1;30;3;1984;1;0;0;0;1;2;2;0;1;4;2;4;2;4;3;4;4;3;1;2;2;1;2;2;2;2;1;2
221;0,68;09/04/2014;4;2;14:42:18;15:13:14;1;29;3;1985;1;0;1;1;0;1;2;1;1;5;1;5;3;5;3;3;3;5;1;1;1;1;1;3;2;1;1;3
222;1,04;09/04/2014;4;2;14:45:21;15:15:49;2;18;1;1996;1;0;0;0;1;2;2;0;1;4;5;5;5;4;5;5;2;2;1;2;2;2;2;2;2;2;1;1
223;0,51;09/04/2014;4;2;14:52:18;15:20:26;2;35;4;1979;1;0;1;1;0;2;2;1;1;2;4;1;1;2;5;5;2;2;1;1;2;1;1;1;1;1;1;1
224;0,57;09/04/2014;4;2;14:56:24;15:25:48;2;50;5;1964;1;0;1;1;0;2;1;1;2;4;4;3;2;3;5;4;5;4;1;1;2;1;1;1;1;2;1;1
225;0,56;09/04/2014;4;2;14:59:07;15:32:32;2;33;3;1981;1;0;1;1;0;2;1;1;1;1;5;1;4;1;5;5;5;1;1;1;1;1;1;1;2;2;1;1
226;0,93;09/04/2014;4;2;15:13:45;15:41:26;2;18;1;1996;1;0;0;0;1;1;2;0;1;2;2;5;3;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1
227;7,25;09/04/2014;4;2;14:43:39;15:42:26;2;58;5;1956;1;0;1;1;1;1;2;0;1;4;4;4;4;1;4;4;2;4;1;1;1;1;2;1;3;3;3;1
228;0,72;09/04/2014;4;2;15:30:22;16:01:31;2;23;2;1991;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;1;5;1;2;2;2;2;2;2;2;1;1
